custom_id,error,model,Q1,Q2,Q2a,Q3,Q4,Q5,in_actual
PXD010372,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state high-grade serous ovarian cancer (HGSOC) and study of platinum-resistant and -sensitive HGSOC patients.,No | evidence: Description compares platinum-resistant and -sensitive HGSOC patient tumor samples; no mention of healthy/normal control samples. | justification: All samples described are tumor samples from HGSOC patients; there is no indication of inclusion of healthy control subjects or non-cancer tissue.,Not applicable | evidence: No explicit sample composition or counts provided and no healthy controls mentioned. | justification: Cannot assess proportion of healthy controls because none are reported.,"Yes | justification: Study performed quantitative proteome analysis, phospho- and interaction proteomics and immunopeptidomics (proteomics methods are central to the work).","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset concerns HGSOC and uses multiple proteomics approaches, meeting criteria 1 and 3. However, it does not include healthy controls (criterion 2 not met), so it fails overall inclusion requirements.",No,False
PXD027794,,gpt-5-mini-2025-08-07,Yes | justification: Study uses SKOV3 ovarian cancer cells and investigates therapy-induced effects on ovarian cancer cell proteomes.,"No | evidence: Description compares secretomes from control (untreated) versus dying cancer cells; no mention of samples from healthy individuals or non-cancer controls. | justification: Controls are treatment conditions of cancer cells, not healthy human control samples.","Not applicable | evidence: No explicit sample composition or proportion of healthy controls is provided in the description. | justification: Because no healthy-control samples are reported, the 20% composition criterion cannot be assessed.",Yes | justification: The project examines proteomic profiles of recipient tumor cells and reports differential protein abundance and enrichment analysis.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset studies ovarian cancer and uses proteomics, it does not include healthy/control human samples (controls are cancer cell treatment conditions), so it fails the healthy-controls inclusion criterion.",No,False
PXD029424,,gpt-5-mini-2025-08-07,"Yes | justification: Title and description explicitly state ovarian carcinoma (OC) and discuss BRCA1/2-deficient ovarian carcinoma, patient-derived tumor samples, and OC cell lines.",No | evidence: Description only mentions OC cell lines (UWB1.289 and UWB+B) and patient-derived BRCA1-proficient and -deficient tumor samples; no mention of non-cancer or healthy control samples. | justification: All samples described are cancerous (cell lines or tumor samples); no healthy control cohort is described.,"Not applicable | evidence: No explicit sample composition provided and no healthy controls described. | justification: Because there are no healthy controls reported, the 20% composition criterion cannot be assessed.","Yes | justification: The study uses multiple proteomics approaches (chemical proteomics, phosphoproteomics, ADP-ribosylation proteomics) as stated in the title and description.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is clearly ovarian cancer–focused and uses proteomics methods, it does not include healthy controls (or report their proportion), so it fails the healthy-control inclusion criterion.",No,False
PXD031518,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state the study is of high-grade serous ovarian cancer (HGSOC) and developing a morphologic classification for HGSOC.,"No | evidence: Description discusses tumor gross appearances, laparoscopic video images, and classification of HGSOC patients; no mention of healthy control samples or non-cancer controls. | justification: All text refers to patients with HGSOC and comparing subtypes/outcomes; there is no indication that healthy (non-cancer) control samples were collected.","Not applicable | evidence: No explicit sample composition or counts are provided in the description. | justification: Because the dataset does not report sample composition or mention any controls, the 20% healthy-control threshold cannot be assessed.","No | justification: The study focuses on gross morphologic classification using laparoscopic video/images and references molecular features generally, but there is no mention of proteomic assays or proteomics data.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: No | justification: The dataset is clearly about ovarian cancer (HGSOC) but does not include healthy controls and does not indicate any proteomics data, so it fails criteria 2 (controls) and 3 (proteomics).",No,False
PXD031929,,gpt-5-mini-2025-08-07,"Yes | justification: Title and description explicitly state high-grade serous ovarian cancer (HGSOC) and discuss neoadjuvant chemotherapy, interval debulking surgery, and residual disease in ovarian cancer patients.","No | evidence: Description refers to matched, chemotherapy-naïve and NACT-treated tumor samples from HGSOC patients with suboptimal (R1) versus optimal (R0) debulking. No mention of healthy/normal control samples. | justification: All described samples are patient tumor specimens (pre- and post-NACT) stratified by residual disease; no healthy control cohort is indicated.","Not applicable | evidence: No explicit sample composition or counts are provided in the title/description; healthy controls are not mentioned. | justification: Because healthy controls are absent from the description, the 20% composition criterion cannot be assessed.","Yes | justification: The study assesses 'proteomic alterations' and 'proteome profiles' in tumor tissues, indicating a proteomics-based analysis.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset is about ovarian cancer and uses proteomics, meeting criteria 1 and 3. However, it does not include healthy controls (criterion 2), so it fails the inclusion requirements.",No,False
PXD019914,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state the study is of high-grade serous ovarian carcinoma (HGSC) and analyzes 119 TCGA HGSC tissue samples.,No | evidence: Description states '119 TCGA HGSC tissues' and discusses tumor characterization; no mention of healthy/normal control samples. | justification: All samples described are HGSC tumor tissues; no healthy control cohort is indicated.,"No | evidence: Sample composition explicitly given as 119 HGSC tissues (no healthy samples reported). | justification: Explicit composition implies 0/119 = 0% healthy controls, which is below the 20% threshold.",Yes | justification: Study performed mass-spectrometry (MS)-based glycoproteomic characterization (SPEG and intact glycopeptide strategies) profiling N-linked glycoproteome.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset is ovarian cancer and uses proteomic (glycoproteomic) methods, it lacks any healthy control samples (0% healthy), so it fails the healthy-controls inclusion criterion.",No,False
PXD022996,,gpt-5-mini-2025-08-07,No | justification: Title and description make no mention of ovarian cancer or any cancer cohort; they describe general proteomics/imputation method evaluation across generic DIA-MS data sets.,"No | evidence: Description lists three DIA-MS data sets (dilution series, small pilot, larger proteomic data set) but gives no information about sample types or presence of healthy controls. | justification: No mention of control or healthy samples in the title/description; sample composition is not provided.",Not applicable | evidence: No explicit sample composition or counts are provided in the description. | justification: Cannot assess percent healthy controls because composition details are absent.,"Yes | justification: Description explicitly refers to proteomic data sets, label-free DIA-MS, and LC-MS/MS, indicating proteomics experiments.",meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset is proteomics (meets criterion 3) but does not pertain to ovarian cancer (fails criterion 1) and does not report healthy controls or sample composition (fails criterion 2). Therefore it does not meet the required inclusion criteria.,No,False
PXD000100,,gpt-5-mini-2025-08-07,"Yes | justification: Title and description explicitly state samples from ovarian cancer patients (and patients with benign ovarian tumors), so the study is about ovarian cancer.",No | evidence: Description lists ovarian cancer patients and patients with benign ovarian tumors; no mention of healthy/normal control subjects. | justification: Only disease groups (malignant and benign ovarian tumor patients) are described; no healthy control group is reported.,"Not applicable | evidence: No explicit sample composition or counts are provided in the description. | justification: Because no healthy controls are indicated and no sample composition is given, the 20% healthy-control threshold cannot be assessed.",Yes | justification: The study targeted cancer-associated proteins in plasma digest with heavy isotope-labeled internal standards and was analyzed using mProphet — this describes targeted proteomics.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is ovarian cancer–related and uses proteomics methods, it lacks healthy control samples (only cancer and benign tumor patients are mentioned), so it fails the healthy-control inclusion criterion.",No,False
PXD013811,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly refer to ovarian cancer (OC) and epithelial ovarian cancer (EOC); study focuses on tumor growth and therapeutic target discovery in OC.,"No | evidence: Title and description mention ovarian cancer, recurrent EOC, and proteomic analysis but do not mention healthy or control samples. | justification: There is no statement in the provided metadata indicating inclusion of healthy control samples.",Not applicable | evidence: No explicit sample composition or counts provided in the title/description. | justification: Cannot assess percentage of healthy controls because sample composition is not reported.,"Yes | justification: Title includes 'MS/MS' and description explicitly states 'Proteomic analysis' as an approach, indicating proteomics data.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset is clearly about ovarian cancer and uses proteomic (MS/MS) methods, satisfying criteria 1 and 3. However, criterion 2 (presence of healthy controls) is not met or documented in the provided metadata, so it fails the healthy-control requirement.",No,False
PXD016996,,gpt-5-mini-2025-08-07,No | justification: Title and description refer to NK cells and the tumor microenvironment generally; there is no mention of ovarian cancer or ovarian tumor samples.,"No | evidence: Description states NK cells were exposed to the TME or control media. | justification: The 'control' appears to be control media, not healthy patient/donor control tissue or samples; no healthy control samples are described.","Not applicable | evidence: No explicit sample composition or counts are provided in the description. | justification: Without sample composition details, percent of healthy controls cannot be assessed.",Yes | justification: Description explicitly states global differences in protein levels were assessed via proteomics.,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the study uses proteomics, it is not about ovarian cancer and does not include described healthy control samples; therefore it does not meet the required inclusion criteria.",No,False
PXD019327,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state ovarian cancer ascites and analysis of ovarian cancer patients (paired ascites before and after chemotherapy; n=10).,No | evidence: Description: analyses of ovarian cancer ascites from the same patients before and after chemotherapy (n=10). | justification: All samples are malignant ascites from ovarian cancer patients (pre- and post-chemotherapy); no mention of healthy control samples or non-cancer controls.,"No | evidence: Explicit sample composition: paired ascites before and after chemotherapy from the same patients (n=10). | justification: Sample set comprises only patient malignant ascites (0% healthy controls), so it does not meet the >=20% healthy control requirement.","Yes | justification: Description states LC-MS/MS analyses and refers to proteome profiles and upregulated proteins, indicating a proteomics study.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset is a proteomic study of ovarian cancer ascites (meets criteria 1 and 3) but contains only malignant patient samples (pre/post chemo) with no healthy controls, so it fails criterion 2/2a.",No,False
PXD015904,,gpt-5-mini-2025-08-07,Yes | justification: Title and description state the dataset was analyzed along with TCGA Ovarian Cancer tumor samples (CPTAC/TCGA Ovarian Cancer Proteome Study).,No | evidence: Description mentions TCGA ovarian cancer tumor samples and CompRef xenograft (human-in-mouse) breast carcinoma pooled samples; no mention of healthy/normal human control samples. | justification: No healthy control samples are described in the provided metadata.,"Not applicable | evidence: No explicit sample composition, counts, or percentages are provided in the description. | justification: Because the description does not report sample composition, the 20% healthy-control requirement cannot be assessed.",Yes | justification: The description explicitly states iTRAQ proteome experiments and phosphoproteome interrogation and references mass spectrometry analyses.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset includes TCGA ovarian cancer tumor proteome data and uses proteomic (iTRAQ/MS) methods, satisfying criteria 1 and 3. It does not describe any healthy control samples, so it fails criterion 2 (and 2a cannot be assessed).",No,False
PXD044196,,gpt-5-mini-2025-08-07,Yes | justification: Title and description repeatedly refer to ovarian carcinogenesis and OvCa cells; the study investigates CRNDE/CRNDEP role in ovarian cancer.,No | evidence: Description mentions MS validation in OvCa cells and 'one OvCa sample' but contains no reference to healthy/normal control samples or healthy donors. | justification: No part of the title or abstract indicates inclusion of healthy control samples or normal tissue; only ovarian cancer cells/samples are described.,"Not applicable | evidence: No explicit sample composition or counts are provided in the title/description. | justification: Because sample composition is not reported, the 20% healthy-control threshold cannot be assessed.","Yes | justification: The study performed mass spectrometry (MS)–based validation and identification of the CRNDEP micropeptide (immunoprecipitation followed by MS), indicating proteomic methods were used.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset concerns ovarian cancer and uses proteomics (MS) but does not include or report healthy control samples, so it fails the healthy-controls inclusion criterion.",No,False
PXD003752,,gpt-5-mini-2025-08-07,Yes | justification: Title and description state the work focuses on kallikrein-related peptidase 7 (KLK7) associated with high grade serous ovarian cancer (HGSOC).,No | evidence: Description indicates analysis of KLK7 degradome in SKOV-3 cell-secreted proteins (a cell line). There is no mention of healthy control samples or normal/benign patient samples. | justification: Study appears to be limited to cell-line secretome experiments (SKOV-3) and does not describe inclusion of healthy control samples.,"Not applicable | evidence: No explicit sample composition or breakdown provided in the description; only cell-line experiments are described. | justification: Because sample composition is not provided and no healthy samples are mentioned, the >=20% healthy-control check is not applicable.","Yes | justification: The study uses two proteomic approaches (qPROTOMAP and TAILS) to analyze the KLK7 degradome, indicating proteomic data generation.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset is proteomics and directly relevant to high grade serous ovarian cancer, it lacks healthy control samples (and no sample composition is provided). Therefore it fails the requirement for healthy controls and should not be included.",No,False
PXD017041,,gpt-5-mini-2025-08-07,Yes | justification: The description states experiments were performed in 3 small cell carcinoma of the ovary hypercalcemic type (SCCOHT) cell lines — a subtype of ovarian cancer.,"No | evidence: Samples are 3 SCCOHT cell lines and a HAP1 parental cell line; no healthy donor or normal ovarian tissue/cell samples are mentioned. | justification: The only non-SCCOHT sample is a HAP1 cell line (a laboratory cell line), which does not constitute a healthy control group.","No | evidence: Explicit sample composition given: 3 cancer cell lines + 1 HAP1 cell line. No samples are described as healthy controls. | justification: With no bona fide healthy control samples reported, the proportion of healthy controls is 0%, below the 20% requirement.","Yes | justification: The study used immunoprecipitation-mass spectrometry to profile protein-protein interactions, which is a proteomics technique.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is ovarian cancer–related (SCCOHT) and uses proteomic (IP-MS) methods, it lacks healthy control samples (the non-tumor sample is a HAP1 cell line), so it fails the healthy-control inclusion criterion.",No,False
PXD033108,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state the study is on high grade serous ovarian cancer (HGSOC) and discovery/validation of serum biomarkers for HGSOC.,"Yes | evidence: ""Serum from age-matched women with HGSOC, benign tumours or healthy controls were analysed..."" | justification: The description explicitly states healthy controls were included alongside HGSOC and benign groups.","Not applicable | evidence: Cohort sizes are given (discovery: UKCTOCS n=30 and UKOPS n=30; validation: n=95) but no breakdown by case/benign/healthy is provided. | justification: No explicit sample composition (numbers or percentages of healthy controls) is reported, so the >=20% requirement cannot be assessed.",Yes | justification: The study used a lectin-magnetic bead array-coupled proteomics platform and reports both shotgun and targeted proteomics analyses.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: The dataset is focused on HGSOC, explicitly includes healthy controls, and uses proteomics methods. Although exact counts of healthy controls are not provided, criterion 2 only requires healthy controls be present (criterion 2a applies only if explicit composition is given).",Yes,True
PXD034466,,gpt-5-mini-2025-08-07,"Yes | justification: Title and description explicitly state experiments were performed in ovarian cancer cells and discuss effects of TRIP in ovarian cancer cells (e.g., disturbance of Fe-S biogenesis in ovarian cancer cells).",No | evidence: Description describes chemoproteomics/pull-down in ovarian cancer cells and identification of dose-dependent targets; no mention of healthy/normal control samples or non-cancer tissues/cells. | justification: All described experiments refer to ovarian cancer cells; there is no indication that healthy control samples were included.,"Not applicable | evidence: No explicit sample composition or counts provided in the description. | justification: Because no healthy controls are reported, the 20% composition criterion cannot be evaluated.","Yes | justification: Description reports chemoproteomics and pull-down experiments that identified 89 dose-dependent protein targets and target response networks, indicating proteomic methods were used.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is proteomics-based and focused on ovarian cancer cells, it does not include healthy control samples (nor provides sample composition), so it fails the requirement for healthy controls and thus should not be included.",No,False
PXD045710,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state high-grade serous ovarian cancer (HGSOC) and study of TILs in HGSOC tumors.,No | evidence: Description: proteogenomic profiling of TILs in 65 tumors collected from 12 HGSOC patients. | justification: All samples described are tumor samples from HGSOC patients; no healthy/control samples are mentioned.,"No | evidence: Explicit sample composition given: 65 tumors from 12 HGSOC patients (no healthy samples reported). | justification: With 0 healthy samples reported, healthy controls comprise 0% of the cohort, which is below the required 20%.","Yes | justification: Description states 'proteogenomic profiling,' which includes proteomic analysis of the TILs.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset is focused on ovarian cancer and includes proteomics (proteogenomic profiling) but contains only tumor samples and explicitly reports no healthy/control samples, so it fails the healthy-controls inclusion criterion.",No,False
PXD027577,,gpt-5-mini-2025-08-07,"No | justification: The study focuses on ovarian follicular fluid and oocyte maturation/quality (reproductive biology), not on ovarian cancer.",No | evidence: Description mentions samples representing oocyte maturation and quality but does not mention healthy controls or control group. | justification: No indication of healthy control samples in the title or description.,"Not applicable | evidence: No explicit sample composition provided in the description. | justification: Because sample composition is not reported, percentage of healthy controls cannot be assessed.",Yes | justification: Title and description explicitly state a proteomic investigation and analysis of differentially expressed proteins in follicular fluid.,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset is proteomics-based, it does not concern ovarian cancer and does not report healthy controls; therefore it fails the primary inclusion criteria.",No,False
PXD046360,,gpt-5-mini-2025-08-07,"Yes | justification: Description explicitly states study of low grade serous ovarian cancer (LGSC), serous borderline tumor (SBT) and high grade serous (HGSC) ovarian tumors and their tumor microenvironment.","No | evidence: Description only mentions tumor sample types (LGSC, SBT, HGSC) and whole proteome profiling of those tumors; there is no mention of healthy controls or normal/benign non-tumor samples. | justification: No healthy/normal control group is described in the title or description.","Not applicable | evidence: No explicit sample composition or counts provided in the description. | justification: Because sample composition is not given and no healthy controls are mentioned, the 20% control requirement cannot be assessed.",Yes | justification: The study performed 'whole proteome profiling' indicating proteomics data were generated.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is an ovarian cancer proteomics study (meets criteria 1 and 3), it does not include healthy controls (fails criterion 2), so it does not meet all inclusion criteria.",No,False
PXD001176,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state ovarian cancer and study uses the ovarian cancer cell line A2780 and its cisplatin‑resistant derivative A2780-DR to investigate drug resistance mechanisms.,No | evidence: Comparison is between A2780 (parental cancer cell line) and A2780-DR (cisplatin-resistant cancer cell line); no normal/healthy tissue or healthy donor samples are mentioned. | justification: Both sample groups are cancer cell lines (parental vs resistant). These are not healthy controls.,"Not applicable | evidence: No explicit sample composition or healthy sample counts are provided; only two cancer cell line conditions are described. | justification: Because there are no healthy controls described, the 20% composition criterion cannot be applied.",Yes | justification: The description states quantitative proteomic analysis was performed and identified 340 differentially expressed proteins between the cell lines.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset addresses ovarian cancer and includes quantitative proteomics, but it lacks healthy control samples (only compares a parental cancer cell line to a resistant cancer cell line), so it fails the healthy-controls inclusion criterion.",No,False
PXD020557,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state study of high-grade serous ovarian cancer and analysis of 10 ovarian cancer patient plasmas.,"Yes | evidence: ""10 healthy female plasmas"" | justification: Description states the study includes 10 healthy female plasma samples as controls.","Yes | evidence: 10 ovarian cancer patient plasmas and 10 healthy female plasmas (total 20; healthy = 10, 50%). | justification: Explicit sample counts are provided; healthy controls represent 50% of samples, exceeding the 20% threshold.",Yes | justification: Description states that MS files for plasma proteins are uploaded (proteomics MS data present).,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: Dataset is about high-grade serous ovarian cancer, includes explicit healthy control samples (10/20 = 50%), and contains proteomics MS files for plasma proteins.",Yes,True
PXD030034,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state high grade serous ovarian cancer (HGSC) and study of homologous recombination–deficient HGSC from patient autopsies.,"No | evidence: Description: ""multiple autopsy samples collected from 15 women with HR-deficient HGSC."" No mention of healthy control samples. | justification: All described samples are from patients with HR-deficient HGSC; no healthy/control subjects are reported.","Not applicable | evidence: No explicit sample composition or control counts are provided in the description. | justification: Because no controls are reported, the ≥20% healthy-control composition criterion cannot be evaluated.","Unclear | justification: Description states a ""multi-omics approach"" but does not explicitly list proteomics or protein-level analyses; primary findings described are genomic and immune-related.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Unclear | justification: While the dataset is clearly ovarian cancer, it lacks reported healthy controls and does not explicitly state proteomics data. Therefore it does not meet the required inclusion criteria.",No,False
PXD012295,,gpt-5-mini-2025-08-07,No | justification: Title and description state oral cancer/OSCC and tobacco abusers (saliva proteome); no mention of ovarian cancer.,"Yes | evidence: Description: ""...differential saliva proteome profile of tobacco abuser, OSCC and healthy control..."" | justification: The description explicitly lists healthy control as one of the sample groups.","Not applicable | evidence: No sample counts or percentages provided in title/description. | justification: Explicit sample composition (numbers or proportions) is not given, so the ≥20% criterion cannot be assessed.","Yes | justification: Description refers to ""proteome profile"" and ""saliva proteome,"" indicating proteomic analysis.","meets ovarian cancer criterion: No | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: While the dataset includes proteomics data and healthy controls, it concerns oral cancer (OSCC) and tobacco abusers rather than ovarian cancer, so it fails the ovarian cancer criterion.",No,False
PXD025940,,gpt-5-mini-2025-08-07,"No | justification: The title and description describe normal human ovarian tissue across life stages (prepuberty, reproductive age, menopause) and fertility/matrisome biology; there is no mention of ovarian cancer or tumor samples.","Yes | evidence: Description refers to prepubertal, reproductive-age and menopausal ovarian tissue and aims to map the ovarian matrisome across the lifespan (no disease/tumor context). | justification: The study characterizes normal ovarian tissue groups, which constitute healthy control-type samples rather than diseased/cancer samples.","Unclear | evidence: No sample counts or percentages provided in the title/description. | justification: Explicit sample composition (numbers or relative proportions) is not reported, so it is not possible to determine whether >=20% of samples are healthy controls.",Yes | justification: The study uses mass spectrometry-based quantitative proteomics with TMT pro 16-plex isobaric labeling and analyzes proteome-wide and ECM-specific proteins.,"meets ovarian cancer criterion: No | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: Although the dataset meets the proteomics and healthy-control criteria (it profiles normal ovarian tissue using MS proteomics), it does not meet the primary inclusion criterion of being about ovarian cancer. Therefore it should be excluded.",No,False
PXD000901,,gpt-5-mini-2025-08-07,Yes | justification: Description explicitly states analysis of five ovarian cancer cell lines and discusses ovarian cancer–related mutations and signaling.,No | evidence: Description mentions only five ovarian cancer cell lines; no healthy or non-cancer control samples are described. | justification: No healthy control samples are indicated in the title or description.,"Not applicable | evidence: No explicit sample composition is provided; only five cancer cell lines are reported. | justification: Because no healthy controls or sample proportions are reported, the 20% healthy-control composition requirement cannot be assessed.","Yes | justification: The study reports global, quantitative analysis of exomes and (phospho-)proteomes, indicating proteomics and phosphoproteomics data.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is ovarian cancer–focused and includes proteomics (phospho-proteomes), it lacks healthy control samples. The inclusion criteria require healthy controls (and ≥20% if compositions given), so the dataset does not meet all criteria.",No,False
PXD051569,,gpt-5-mini-2025-08-07,"No | justification: Study concerns premature ovarian failure (POF), an endocrine/infertility condition, not ovarian cancer.",Yes | evidence: Description: 'cohort consisting of 14 POF patients and 16 healthy controls.' | justification: Explicitly states inclusion of 16 healthy control samples.,Yes | evidence: 14 POF patients + 16 healthy controls = 30 total; healthy controls = 16/30 (53.3%). | justification: Healthy controls comprise >20% of the cohort (≈53%).,Yes | justification: Exosomes were subjected to label-free proteomic analysis (explicitly stated).,"meets ovarian cancer criterion: No | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: Although the dataset includes healthy controls (>20%) and uses proteomics, it addresses premature ovarian failure (POF), not ovarian cancer, therefore it does not meet the primary inclusion criterion.",No,False
PXD008582,,gpt-5-mini-2025-08-07,"No | justification: Title and description explicitly refer to metastatic colorectal cancer (CRC / mCRC) and discuss CRC cell lines and models, not ovarian cancer.","No | evidence: Description discusses in vitro CRC cell lines, patient-derived metastatic and circulating CRC cell lines, and mouse models. There is no mention of healthy control samples or normal tissues. | justification: All samples described are cancer cell lines or tumor models; no healthy control cohort is described.","Not applicable | evidence: No explicit sample composition or counts are provided in the description. | justification: Because no healthy controls are reported, the 20% composition criterion cannot be evaluated.","Yes | justification: The description states ""Using quantitative phosphoproteomics, we identified BCR as a new DDR1 substrate,"" indicating proteomics (phosphoproteomics) was used.","meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset meets the proteomics criterion (quantitative phosphoproteomics), it fails the ovarian cancer requirement (it is about colorectal cancer) and does not include healthy controls. Therefore it does not satisfy the inclusion criteria overall.",No,False
PXD014352,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state the study is focused on ovarian cancer and analysis of ovarian malignant tissue samples.,"Unclear | evidence: ""malignant and non-malignant tissue samples"" (description) | justification: Description mentions non-malignant tissue samples, which suggests control material, but it does not explicitly state these are healthy controls (e.g., normal ovarian tissue from healthy donors) versus benign or adjacent non-tumour tissue. Sample source/composition is not specified.","Not applicable | evidence: No explicit sample counts or percentages provided in the description. | justification: Because explicit sample composition is not reported, the >20% healthy-controls check cannot be assessed.","Yes | justification: Methods described include 2-dimensional gel electrophoresis and MALDI-TOF MS for proteomic analysis, with downstream immunological validation (western blot, ELISA).","meets ovarian cancer criterion: Yes | meets healthy controls criterion: Unclear | meets proteomics criterion: Yes | justification: The dataset clearly meets the ovarian cancer and proteomics criteria. However, the presence and proportion of true healthy controls are not explicitly stated (only 'non-malignant' samples are mentioned), so it does not definitively meet the requirement for documented healthy controls ≥20%.",No,True
PXD029428,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state ovarian carcinoma/ovarian cancer (OC) and discuss BRCA1/2-deficient ovarian carcinoma and patient-derived ovarian tumor samples.,No | evidence: Description mentions OC cell lines and patient-derived BRCA1-proficient and -deficient tumor samples; no mention of healthy/normal control samples or non-cancerous tissues. | justification: All samples described are tumor-derived or cancer cell lines; there is no indication that healthy control samples were included.,"Not applicable | evidence: No explicit sample composition or counts provided in the description. | justification: Because no sample composition is reported, the 20% healthy-control threshold cannot be assessed.","Yes | justification: The study uses multiple proteomics approaches (chemical proteomics, phosphoproteomics, and ADP-ribosylation proteomics) as stated in the description.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset is clearly ovarian cancer and proteomics-based, but it does not include healthy controls (or report any control sample composition), therefore it fails the requirement for containing healthy controls.",No,False
PXD026929,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly discuss miR-141 in ovarian carcinomas and mechanisms by which ovarian cancer cells transfer miR-141 to stromal cells; study is framed around ovarian cancer biology.,No | evidence: Description states miR-141 was overexpressed in WPMY-1 cells and their respective scrambled control were sent for proteomic analysis. | justification: The only controls mentioned are scrambled transfection controls in a cell line (WPMY-1). No healthy human/control tissue or healthy donor samples are described.,"Not applicable | evidence: No sample counts or explicit sample composition (no proportion of healthy controls) are provided in the description. | justification: Because no explicit sample composition is reported, the 20% healthy-control threshold cannot be assessed.",Yes | justification: The description states the samples (WPMY-1 overexpressing miR-141 and scrambled controls) were sent for proteomic analysis.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset concerns ovarian cancer biology and uses proteomic analysis, it lacks healthy control samples (only experimental scrambled controls in a cell line). Therefore it does not meet the requirement to contain healthy controls.",No,False
